,Unnamed: 0,Depth,Longitude,Latitude,Temperature,Salinity,Density
0,0,0.0,70.5,5.5,28.54771,34.794712,22.04537
1,1,0.0,70.5,6.5,28.57669,34.76339,22.023916
2,2,0.0,70.5,7.5,28.578,34.804913,22.070084
3,3,0.0,70.5,8.5,28.5562,34.95,22.200138
4,4,0.0,70.5,9.5,28.51609,35.20849,22.413385
5,5,0.0,70.5,10.5,28.45561,35.540688,22.678053
6,6,0.0,70.5,11.5,28.3644,35.859512,22.93749
7,7,0.0,70.5,12.5,28.2387,36.0782,23.139141
8,8,0.0,70.5,13.5,28.0776,36.17909,23.274307
9,9,0.0,70.5,14.5,27.88939,36.1976,23.363638
10,10,0.0,71.5,5.5,28.48151,34.60769,21.936514
11,11,0.0,71.5,6.5,28.5195,34.50191,21.854227
12,12,0.0,71.5,7.5,28.54181,34.459587,21.831543
13,13,0.0,71.5,8.5,28.550491,34.533913,21.905247
14,14,0.0,71.5,9.5,28.54781,34.75839,22.09105
15,15,0.0,71.5,10.5,28.526009,35.1022,22.360292
16,16,0.0,71.5,11.5,28.472109,35.46269,22.642887
17,17,0.0,71.5,12.5,28.3839,35.7283,22.866537
18,18,0.0,71.5,13.5,28.2631,35.86049,23.009037
19,19,0.0,71.5,14.5,28.1307,35.910587,23.100916
20,20,0.0,72.5,5.5,28.40509,34.461887,21.854647
21,21,0.0,72.5,6.5,28.44179,34.273613,21.709711
22,22,0.0,72.5,7.5,28.4816,34.13509,21.611326
23,23,0.0,72.5,8.5,28.52441,34.11319,21.61117
24,24,0.0,72.5,9.5,28.5643,34.266388,21.744648
25,25,0.0,72.5,10.5,28.58039,34.58299,21.996662
26,26,0.0,72.5,11.5,28.5702,34.9455,22.279964
27,27,0.0,72.5,12.5,28.4966,35.2245,22.513353
28,28,0.0,72.5,13.5,28.41011,35.3971,22.66788
29,29,0.0,72.5,14.5,28.3555,35.52391,22.7809
30,30,0.0,73.5,5.5,28.3349,34.40559,21.82457
31,31,0.0,73.5,6.5,28.36329,34.13781,21.622349
32,32,0.0,73.5,7.5,28.41641,33.89461,21.444761
33,33,0.0,73.5,8.5,28.49501,33.7489,21.35095
34,34,0.0,73.5,9.5,28.5828,33.78191,21.397001
35,35,0.0,73.5,10.5,28.63389,34.040413,21.616983
36,36,0.0,73.5,11.5,28.639,34.33441,21.869247
37,37,0.0,73.5,12.5,28.639,34.60939,22.098333
38,38,0.0,73.5,13.5,28.57741,34.80779,22.250061
39,39,0.0,73.5,14.5,28.560991,35.08791,22.436638
40,40,0.0,74.5,5.5,28.27289,34.430313,21.837645
41,41,0.0,74.5,6.5,28.28959,34.09061,21.58736
42,42,0.0,74.5,7.5,28.351,33.74071,21.3327
43,43,0.0,74.5,8.5,28.469791,33.4393,21.119326
44,44,0.0,74.5,9.5,28.63241,33.28141,21.013548
45,45,0.0,74.5,10.5,28.720991,33.53751,21.247662
46,46,0.0,74.5,11.5,28.722,33.69529,21.44515
47,47,0.0,74.5,12.5,28.7,33.9062,21.692654
48,48,0.0,74.5,13.5,28.44479,33.88329,21.729279
49,49,0.0,74.5,14.5,,,
50,50,0.0,75.5,5.5,28.2021,34.44751,21.85912
51,51,0.0,75.5,6.5,28.19721,34.07309,21.576303
52,52,0.0,75.5,7.5,28.25329,33.6299,21.259005
53,53,0.0,75.5,8.5,28.41881,33.14369,20.898203
54,54,0.0,75.5,9.5,28.7591,32.5217,20.386225
55,55,0.0,75.5,10.5,28.88789,33.20201,20.951971
56,56,0.0,75.5,11.5,28.83691,32.97451,20.973812
57,57,0.0,75.5,12.5,,,
58,58,0.0,75.5,13.5,,,
59,59,0.0,75.5,14.5,,,
60,60,0.0,76.5,5.5,28.0927,34.4034,21.850227
61,61,0.0,76.5,6.5,28.0432,33.995888,21.558807
62,62,0.0,76.5,7.5,28.05249,33.552612,21.241066
63,63,0.0,76.5,8.5,28.20379,33.02089,20.865612
64,64,0.0,76.5,9.5,,,
65,65,0.0,76.5,10.5,,,
66,66,0.0,76.5,11.5,,,
67,67,0.0,76.5,12.5,,,
68,68,0.0,76.5,13.5,,,
69,69,0.0,76.5,14.5,,,
70,70,0.0,77.5,5.5,27.948,34.2593,21.785862
71,71,0.0,77.5,6.5,27.8435,33.841312,21.502054
72,72,0.0,77.5,7.5,27.7514,33.4785,21.265987
73,73,0.0,77.5,8.5,,,
74,74,0.0,77.5,9.5,,,
75,75,0.0,77.5,10.5,,,
76,76,0.0,77.5,11.5,,,
77,77,0.0,77.5,12.5,,,
78,78,0.0,77.5,13.5,,,
79,79,0.0,77.5,14.5,,,
80,80,0.0,78.5,5.5,27.7889,34.026012,21.661297
81,81,0.0,78.5,6.5,27.6205,33.53381,21.34154
82,82,0.0,78.5,7.5,27.4696,33.14881,21.142101
83,83,0.0,78.5,8.5,,,
84,84,0.0,78.5,9.5,,,
85,85,0.0,78.5,10.5,,,
86,86,0.0,78.5,11.5,,,
87,87,0.0,78.5,12.5,,,
88,88,0.0,78.5,13.5,,,
89,89,0.0,78.5,14.5,,,
90,90,0.0,79.5,5.5,27.7312,33.81329,21.50681
91,91,0.0,79.5,6.5,27.5221,33.115288,21.02126
92,92,0.0,79.5,7.5,27.5557,32.957188,20.97929
93,93,0.0,79.5,8.5,27.5677,32.9422,21.022377
94,94,0.0,79.5,9.5,,,
95,95,0.0,79.5,10.5,,,
96,96,0.0,79.5,11.5,,,
97,97,0.0,79.5,12.5,,,
98,98,0.0,79.5,13.5,,,
99,99,0.0,79.5,14.5,,,
